time, open, high, low, close, Signal, Status, Target, StopLoss, Buy_Price, Trade_date, Trade status, Flag, Trade_type, Sell_Price
2020-10-26T03:45:00Z,11942.85,11942.85,11901.65,11918.85, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:46:00Z,11916.8,11922.95,11905.55,11907.1, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:47:00Z,11906.5,11909.9,11904.1,11908.5, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:48:00Z,11907.4,11908.5,11896.05,11896.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:49:00Z,11897.4,11897.4,11889.3,11890.8, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:50:00Z,11890.9,11890.9,11877,11883.75, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:51:00Z,11884.05,11897.75,11882.85,11896.15, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:52:00Z,11895.55,11904.8,11894.35,11899.8, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:53:00Z,11900,11905.55,11896.7,11905, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:54:00Z,11904.05,11908.5,11903.3,11903.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:55:00Z,11901.6,11908.15,11901.6,11905.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:56:00Z,11906.3,11912.4,11906.3,11907.6, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:57:00Z,11907.35,11907.95,11898.5,11900.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:58:00Z,11901.35,11902.55,11895.6,11897.95, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T03:59:00Z,11896.1,11901.15,11896.1,11899.75, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:00:00Z,11899.65,11899.9,11889.45,11890.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:01:00Z,11891.2,11897.4,11891,11897.4, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:02:00Z,11895.3,11903,11893.95,11900.25, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:03:00Z,11900.8,11908.45,11900.8,11908.45, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:04:00Z,11908.25,11916.85,11906.75,11910.9, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:05:00Z,11911.3,11922.75,11911.3,11918.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:06:00Z,11919,11919,11913.3,11915.1, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:07:00Z,11916.2,11919.45,11914.55,11915.5, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:08:00Z,11915.6,11916.6,11910.85,11915, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:09:00Z,11914.75,11915.55,11902.8,11904.6, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:10:00Z,11904.15,11905.65,11900.45,11901.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:11:00Z,11901.35,11901.35,11894.6,11897.65, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:12:00Z,11897.8,11905.5,11897.8,11905, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:13:00Z,11905.2,11905.95,11900.35,11901.25, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:14:00Z,11901.5,11904.4,11901.5,11903.65, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:15:00Z,11903.05,11912.35,11903.05,11908.95, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:16:00Z,11908.9,11914.25,11908.9,11912.9, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:17:00Z,11912.3,11913.5,11907.25,11907.7, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:18:00Z,11907.65,11910.4,11905.95,11910.25, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:19:00Z,11909.95,11912,11903.95,11905.85, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:20:00Z,11905.2,11912.75,11905.05,11907.25, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:21:00Z,11906.75,11908.05,11901.75,11906.8, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:22:00Z,11906.9,11911.1,11906.9,11911.05, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:23:00Z,11910.9,11912.85,11907.35,11910.3, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:24:00Z,11910.6,11910.65,11904.4,11906.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:25:00Z,11906.45,11908.5,11904.55,11907.45, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:26:00Z,11907.25,11908.3,11905.3,11906.2, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:27:00Z,11906.25,11908.4,11906.25,11908.4, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:28:00Z,11907.95,11908.95,11905.5,11907.15, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:29:00Z,11902.9,11908.1,11902.9,11907.4, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:30:00Z,11907.2,11908.8,11905.55,11907, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:31:00Z,11906.25,11908.85,11903.9,11903.9, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:32:00Z,11904.8,11905.5,11900.6,11902.4, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:33:00Z,11901.7,11902.35,11899.05,11900.7, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:34:00Z,11900.85,11901.7,11894.85,11896.15, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:35:00Z,11895.75,11901.95,11895.1,11899.9, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:36:00Z,11899.6,11905.35,11898.5,11904.3, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:37:00Z,11904.05,11907.8,11904.05,11905.5, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:38:00Z,11905.3,11910.15,11905.1,11908.95, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:39:00Z,11909.5,11910.4,11908.45,11909.65, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:40:00Z,11908.75,11910.25,11906.2,11908.35, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:41:00Z,11908.9,11911.95,11908.45,11910.35, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:42:00Z,11910.8,11910.8,11906.9,11906.9, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:43:00Z,11907.25,11907.25,11905.25,11907.05, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:44:00Z,11906.35,11907.75,11903.25,11903.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:45:00Z,11903.25,11903.25,11896.4,11899.8, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:46:00Z,11899.1,11900.45,11894.6,11897.5, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:47:00Z,11896.8,11900.55,11896.8,11899.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:48:00Z,11899.1,11901.65,11899,11900.65, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:49:00Z,11900.3,11900.8,11897.4,11898.95, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:50:00Z,11898.2,11899.6,11894.5,11894.5, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:51:00Z,11893.9,11894.7,11892.1,11894.05, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:52:00Z,11893.45,11896.8,11893.15,11896.3, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:53:00Z,11895.85,11898.4,11893.6,11895.2, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:54:00Z,11894.55,11897.7,11894.55,11897.7, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:55:00Z,11898,11899.75,11896.95,11899.4, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:56:00Z,11899.15,11900.9,11898.2,11898.6, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:57:00Z,11898,11899.85,11894.85,11895.8, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:58:00Z,11895.75,11899.4,11894.3,11898.75, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T04:59:00Z,11898.5,11902.7,11898.5,11900.45, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:00:00Z,11900.1,11900.9,11897.4,11897.4, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:01:00Z,11897.5,11903.15,11897.5,11902.7, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:02:00Z,11902.5,11904.6,11901.8,11903.85, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:03:00Z,11902.5,11906.95,11902.5,11904.75, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:04:00Z,11904.55,11906.2,11904,11905.6, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:05:00Z,11905.45,11906.6,11901.55,11902.95, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:06:00Z,11903.55,11904.2,11897.9,11897.9, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:07:00Z,11898.5,11900.65,11896.85,11898.7, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:08:00Z,11898.25,11899.05,11896.55,11898.7, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:09:00Z,11898.35,11899.75,11897.3,11898.35, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:10:00Z,11897.85,11900.65,11897.05,11900.65, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:11:00Z,11900.75,11901.45,11899.6,11901.2, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:12:00Z,11900.7,11901.95,11898.6,11898.95, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:13:00Z,11898.65,11900.2,11897.95,11900.2, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:14:00Z,11900,11900.7,11898.6,11899.25, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:15:00Z,11898.85,11899,11893.2,11895.25, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:16:00Z,11895.8,11896.25,11893.3,11894.9, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:17:00Z,11894.2,11896.65,11893.35,11895.2, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:18:00Z,11895.5,11896.25,11888.8,11894.3, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:19:00Z,11894.7,11899.15,11892.8,11899.1, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:20:00Z,11899.25,11899.4,11897.2,11898.1, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:21:00Z,11898.05,11900.95,11897.05,11897.6, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:22:00Z,11897.3,11900.55,11896.6,11899.95, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:23:00Z,11900.3,11902.85,11899.65,11901.6, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:24:00Z,11901.75,11904.55,11899.8,11900.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:25:00Z,11900.5,11903.85,11900,11903.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:26:00Z,11903.05,11903.45,11901.5,11903.05, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:27:00Z,11903.45,11904.25,11901.4,11902.65, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:28:00Z,11902.6,11907.5,11902.05,11906.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:29:00Z,11905.8,11906.05,11902.9,11903.15, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:30:00Z,11902.9,11906.8,11902.55,11906.5, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:31:00Z,11906.6,11906.6,11900,11900, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:32:00Z,11900.1,11902.6,11900.05,11902.55, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:33:00Z,11902.35,11903.75,11896.9,11897.45, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:34:00Z,11897.4,11898.4,11895.35,11898.4, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:35:00Z,11898.1,11898.85,11896.95,11897.9, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:36:00Z,11896.95,11898.2,11895.4,11896.05, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:37:00Z,11896.25,11898.9,11895.4,11898.3, -, Inactive,0,0,0, -, -,0, -,0
2020-10-26T05:38:00Z,11898.1,11898.1,11895.5,11895.8, -, Inactive,0,0,0, -, -,0, -,0
